"DBN","School.Name","pct_female","pct_male","pct_asian","pct_black","pct_hispanic","pct_multi.racial","pct_native_american","pct_white","pct_disabilities","pct_eng_learners","pct_poverty","economic_need_index","school_name","total_students","students_temp_housing","pct_temp_housing","students_residing_shelter","residing_dhs_shelter","residing_non_dhs_shelter","doubled_up"
"18K279","P.S. 279 Herman Schreiber",49.3,50.7,1.5,85.4,10.2,0.4,0.4,2.2,17.5,3.3,82.5,74,"P.S. 279 Herman Schreiber",313,"65",20.76677382,"18","10","8","32"
"18K285","I.S. 285 Meyer Levin",50.5,49.5,1.7,87.5,8.1,0.6,0.8,1.3,25.5,5.4,80.2,75.7,"I.S. 285 Meyer Levin",494,"55",11.13360301,"28","s","s","26"
"18K366","The Science And Medicine Middle School",50.2,49.8,1.2,82.4,11.4,0.4,1.2,3.3,27.8,4.5,90.6,82.5,"The Science And Medicine Middle School",263,"43",16.34981036,"17","s","s","19"
"18K563","It Takes a Village Academy",35.5,64.5,0.8,79.6,10.9,0.4,1.1,4.9,19.2,23.4,80,80.1,"It Takes a Village Academy",340,"85",25,"46","10","36","36"
"18K566","Brooklyn Community High School for Excellence and",36.6,63.4,3.4,78.5,11.7,0,0.5,3.9,20,24.9,80,76.5,"Brooklyn Community High School for Excellence and",255,"58",22.74509817,"34","7","27","23"
"18K567","Brooklyn Theatre Arts High School",63.9,36.1,0,82.5,12.9,2.6,0.5,1,26.3,5.2,84.5,80.6,"Brooklyn Theatre Arts High School",260,"88",33.84615481,"70","12","58","14"
"18K569","Kurt Hahn Expeditionary Learning School",41.8,58.2,1.4,70.5,13.7,0,1.4,4.8,32.2,17.1,86.3,85.6,"Kurt Hahn Expeditionary Learning School",180,"39",21.66666687,"18","10","8","21"
"18K576","Victory Collegiate High School",39.4,60.6,6.1,75.2,10.6,1.2,0.8,5.7,17.9,15,87,84.1,"Victory Collegiate High School",271,"51",18.81918758,"33","13","20","15"
"18K578","Brooklyn Bridge Academy",51.8,48.2,2.9,75.9,15.3,2.2,0.7,2.9,27,9.5,81.8,80.9,"Brooklyn Bridge Academy",174,"19",10.91954038,"6","s","s","12"
"18K581","The Middle School of Media, Law and Fine Arts",45.2,54.8,1.1,84,11.7,1.1,0.5,1.6,21.3,10.6,77.7,80.7,"The Middle School of Media, Law and Fine Arts",229,"38",16.59388691,"25","s","s","10"
"18K588","Middle School for Art and Philosophy",53.5,46.5,0,79.4,14.8,0,0.6,5.2,25.8,5.8,89,83.3,"Middle School for Art and Philosophy",187,"49",26.20320916,"38","30","8","8"
"18K617","High School for Innovation in Advertising and Medi",29.3,70.7,2.3,77.6,10.1,0.9,1.7,4.6,28.4,6.3,84.5,83.1,"High School for Innovation in Advertising and Medi",364,"40",10.98901108,"16","s","s","20"
"18K629","Cultural Academy for the Arts and Sciences",50.4,49.6,1.1,84.2,12.1,0,1.1,0.7,29.4,8.1,80.1,79,"Cultural Academy for the Arts and Sciences",293,"33",11.26279831,"13","s","s","15"
"18K633","High School for Medical Professions",61.6,38.4,4,78.2,11,0.3,0.8,5.4,13.8,9.9,95,78.2,"High School for Medical Professions",411,"66",16.05839431,"40","11","29","23"
"18K635","Olympus Academy",41.3,58.7,1.1,86.4,8.2,1.1,2.2,1.1,19,4.3,95,79.5,"Olympus Academy",201,"19",9.45273638,"16","8","8","s"
"18K637","Academy for Conservation and the Environment",36.4,63.6,9.4,70.3,10.8,1.2,0.5,6.2,16.8,12.7,78.8,75.5,"Academy for Conservation and the Environment",473,"54",11.41649038,"27","13","14","26"
"18K642","Urban Action Academy",40.2,59.8,0.8,80.3,13.4,0.8,0,3.9,21.3,14.2,82.7,88.8,"Urban Action Academy",188,"67",35.6382966,"59","7","52","6"
"18K673","East Brooklyn Community High School",44,56,0,74.3,24,0,1.1,0.6,34.3,2.9,89.1,91.3,"East Brooklyn Community High School",223,"36",16.14349782,"22","7","15","13"
"18K763","Brooklyn Science and Engineering Academy",39.5,60.5,2.9,87.4,7.6,1.6,0.3,0.3,22.1,1.8,79.2,65.6,"Brooklyn Science and Engineering Academy",395,"23",5.82278483,"12","s","s","11"
"18K961","Lenox Academy M. S. 961",56.4,43.6,1.3,88.6,4.7,1.7,1.7,0.4,12.3,0.4,72.9,55.3,"Lenox Academy M. S. 961",233,"12",5.15021458,"s","s","s","7"
"19K007","P.S. 007 Abraham Lincoln",51,49,3.5,5.8,87.4,0.2,1.9,1.1,19.5,31.4,95,85.6,"P.S. 007 Abraham Lincoln",666,"80",12.0120123,"26","19","7","52"
"19K013","P.S. 013 Roberto Clemente",47.9,52.1,2.4,63.2,29.3,0,2.1,3,23.7,9.9,91,91.5,"P.S. 013 Roberto Clemente",374,"114",30.48128486,"84","69","15","28"
"19K065","P.S. 065",47.3,52.7,3.8,8.2,83,0.4,3.2,1.3,10.5,21.4,90.8,88.2,"P.S. 065",547,"136",24.86288846,"16","s","s","118"
"19K089","P.S. 089 Cypress Hills",50.7,49.3,0.2,1.7,97.9,0,0,0.2,24.1,49.3,92.4,89.9,"P.S. 089 Cypress Hills",493,"97",19.67545599,"29","s","s","68"
"19K108","P.S. 108 Sal Abbracciamento",52.7,47.3,2.6,9.9,81.9,0.9,2.6,2.1,23.2,20.6,91.1,89,"P.S. 108 Sal Abbracciamento",707,"224",31.68316782,"24","s","s","200"
"19K149","P.S. 149 Danny Kaye",48.1,51.9,3.1,49.9,43.8,0.6,0.4,2.2,19.4,13.6,94.3,90.7,"P.S. 149 Danny Kaye",536,"92",17.16417968,"67","57","10","25"
"19K158","P.S. 158 Warwick",54.9,45.1,5.3,48.3,43,0.3,2.1,1.1,19,7.1,95,92.7,"P.S. 158 Warwick",399,"85",21.30325884,"34","26","8","50"
"19K159","P.S. 159 Isaac Pitkin",50.8,49.2,55.2,17.5,24.9,0.6,1.5,0.3,15.4,24.1,95,90.7,"P.S. 159 Isaac Pitkin",682,"73",10.70381254,"36","27","9","35"
"19K171","I.S. 171 Abraham Lincoln",50.7,49.3,7.5,7.5,81.1,0,2.9,1.1,22.9,31.8,93.6,89.3,"I.S. 171 Abraham Lincoln",290,"64",22.06896544,"13","s","s","50"
"19K190","P.S. 190 Sheffield",50.9,49.1,0.9,60.7,26.8,0.9,3.6,7.1,20.5,8.9,95,94.7,"P.S. 190 Sheffield",120,"11",9.16666687,"6","s","s","s"
"19K202","P.S. 202 Ernest S. Jenkyns",47.3,52.7,4.9,51.9,41.2,0.4,0.4,1.2,24.7,13.6,93.8,93.1,"P.S. 202 Ernest S. Jenkyns",294,"51",17.34693944,"18","s","s","22"
"19K213","P.S. 213 New Lots",54.3,45.7,7.4,62.8,18.6,0,2.7,8,20.2,18.1,94.7,92.6,"P.S. 213 New Lots",207,"33",15.94202965,"19","s","s","13"
"19K214","P.S. 214 Michael Friedsam",46.5,53.5,60.4,11,22.3,0.4,3.1,2.8,15,18,90.4,87.7,"P.S. 214 Michael Friedsam",775,"90",11.61290333,"23","s","s","66"
"19K218","J.H.S. 218 James P. Sinnott",46.5,53.5,19.5,38,37,0.7,4,0.7,28.6,24.2,91.9,93,"J.H.S. 218 James P. Sinnott",344,"58",16.86046571,"32","26","6","23"
"19K224","P.S. 224 Hale A. Woodruff",44.6,55.4,4.5,59.2,33.3,0,1.1,1.9,21.3,8.6,95,94,"P.S. 224 Hale A. Woodruff",295,"49",16.61016941,"24","18","6","24"
"19K273","P.S. 273 Wortman",50.9,49.1,0.7,70,27.3,0.3,0.3,1.4,21.5,4.1,86.7,87.5,"P.S. 273 Wortman",307,"49",15.96091241,"19","s","s","29"
"19K290","P.S. 290 Juan Morel Campos",46.9,53.1,2.5,16.6,78.5,1.1,0.5,0.8,23.2,35.7,94.6,92.4,"P.S. 290 Juan Morel Campos",443,"150",33.86004567,"85","60","25","65"
"19K292","J.H.S. 292 Margaret S. Douglas",47.2,52.8,22,39.7,36.1,0.3,1.6,0.3,23,19.3,91.8,90.1,"J.H.S. 292 Margaret S. Douglas",346,"103",29.76878583,"79","55","24","20"
"19K306","P.S. 306 Ethan Allen",47.5,52.5,0.4,68.8,30.4,0.4,0,0,19.8,8.4,95,95,"P.S. 306 Ethan Allen",298,"89",29.86577153,"63","55","8","24"
"19K325","The Fresh Creek School",56.4,43.6,1.1,61.9,33.7,1.7,0.6,1.1,19.9,9.4,95,94.7,"The Fresh Creek School",193,"66",34.19689238,"53","s","s","10"
"19K328","P.S. 328 Phyllis Wheatley",47,53,0.4,48.1,46.6,0.4,0.8,3.8,19.3,17.8,95,95,"P.S. 328 Phyllis Wheatley",309,"156",50.48543811,"115","101","14","24"
"19K345","P.S. 345 Patrolman Robert Bolden",50.6,49.4,10.2,29.6,55.4,1.1,2.8,0.9,13.1,20.7,94.8,90.3,"P.S. 345 Patrolman Robert Bolden",568,"125",22.00704217,"108","81","27","17"
"19K346","P.S. 346 Abe Stark",44.3,55.7,1,67.6,26,2,0.7,2.7,30.2,3.5,85.9,85.5,"P.S. 346 Abe Stark",465,"55",11.82795689,"15","s","s","28"
"19K364","I.S. 364 Gateway",50.8,49.2,3.8,67.7,23.1,3.1,1.5,0.8,35.4,0.8,89.2,90.4,"I.S. 364 Gateway",133,"19",14.28571492,"6","s","s","11"
"19K404","Academy for Young Writers",54.4,45.6,3.5,63.3,28.5,0,1.1,1.8,22.8,3.1,91.6,89.2,"Academy for Young Writers",449,"54",12.02672571,"28","19","9","22"
"19K409","East New York Family Academy",54.3,45.7,1.6,64.4,32.1,0.5,0.2,1,22.2,3.7,87.9,84.4,"East New York Family Academy",624,"66",10.57692319,"30","11","19","30"
"19K422","Spring Creek Community School",46,54,1.9,69.9,22.3,1.1,0.8,1.6,22.6,2.7,85.5,87.6,"Spring Creek Community School",378,"30",7.93650821,"13","s","s","15"
"19K452","Frederick Douglass Academy VIII Middle School",46,54,2.5,70,21.5,1.5,4,0.5,29.5,1,95,78.4,"Frederick Douglass Academy VIII Middle School",212,"33",15.5660376,"8","s","s","18"
"19K502","FDNY - Captain Vernon A. Richard High School for F",25.1,74.9,1.7,60.2,31.6,0.9,0.9,0.9,38.5,11.3,84,87.2,"FDNY - Captain Vernon A. Richard High School for F",222,"35",15.76576531,"25","s","s","9"
"19K504","High School for Civil Rights",47.5,52.5,2,52.5,36.8,0.5,0,1,24,27.5,87.3,94.4,"High School for Civil Rights",207,"54",26.08695626,"36","21","15","13"
"19K507","Performing Arts and Technology High School",61.4,38.6,0.8,58.4,34.2,0.3,1.4,0.8,24,10.2,90.6,85.8,"Performing Arts and Technology High School",360,"53",14.72222209,"33","22","11","16"
"19K510","World Academy for Total Community Health High Scho",65.2,34.8,1.4,44.7,48.2,0,3.5,1.4,22.7,34,92.2,92.3,"World Academy for Total Community Health High Scho",192,"64",33.33333433,"46","38","8","16"
"19K557","Brooklyn Gardens Elementary School",46.5,53.5,1.5,52.3,40.7,1.5,0.9,3.1,21.4,14.4,95,95,"Brooklyn Gardens Elementary School",353,"135",38.24362755,"102","90","12","22"
"19K583","Multicultural High School",41.8,58.2,0,0,94,0,0.6,0,2.1,91.6,90.1,95,"Multicultural High School",364,"78",21.42857164,"26","19","7","50"
"19K615","Transit Tech Career and Technical Education High S",16.1,83.9,10.7,49.6,27.8,0.6,3.1,1.7,30.4,7.6,80.2,80.3,"Transit Tech Career and Technical Education High S",832,"95",11.41826957,"35","20","15","53"
"19K618","Academy of Innovative Technology",19.3,80.7,8.8,32.8,53.6,0.5,1.3,2.8,20.8,8.8,81.2,79.8,"Academy of Innovative Technology",398,"29",7.28643239,"11","s","s","17"
"19K639","Brooklyn Lab School",37.5,62.5,10.3,20.5,65.6,0,2.1,1.4,20.3,16,88.3,87.2,"Brooklyn Lab School",410,"52",12.68292665,"18","11","7","32"
"19K654","Van Siclen Community Middle School",43.7,56.3,1.1,62.1,31.6,0,2.3,2.9,25.9,16.7,95,95,"Van Siclen Community Middle School",191,"40",20.94240785,"27","s","s","13"
"19K659","Cypress Hills Collegiate Preparatory School",51.6,48.4,5.7,11.9,80.2,0,1.2,0.5,20,21.5,89.1,86.8,"Cypress Hills Collegiate Preparatory School",421,"53",12.58907318,"7","s","s","44"
"19K660","W. H. Maxwell Career and Technical Education High",69.7,30.3,2.4,55.5,33.4,0.4,1.7,2.2,31,13.1,89.3,93,"W. H. Maxwell Career and Technical Education High",477,"100",20.96436024,"68","44","24","26"
"19K661","Vista Academy",52.4,47.6,4.4,21.4,67.8,1.1,3.5,1.8,23.8,17.8,95,89.8,"Vista Academy",482,"142",29.46058214,"46","26","20","94"
"19K662","Liberty Avenue Middle School",46.2,53.8,7.1,21.4,66.4,0.2,1.1,3.7,23,24.8,94,89.3,"Liberty Avenue Middle School",469,"110",23.45415801,"40","33","7","64"
"19K663","School of the Future Brooklyn",39.4,60.6,1.6,53.5,40.2,0.8,0,3.9,26.8,12.6,95,95,"School of the Future Brooklyn",129,"37",28.68216932,"33","26","7","s"
"19K677","East New York Elementary School of Excellence",49.2,50.8,7.7,39.6,48.1,2.2,1.4,1.1,19.4,18.3,91.5,91.3,"East New York Elementary School of Excellence",392,"93",23.7244904,"39","27","12","52"
"19K678","East New York Middle School of Excellence",50.2,49.8,3.4,43.8,48.1,0,3.4,1.3,26.2,12.4,95,94.1,"East New York Middle School of Excellence",238,"51",21.42857164,"21","s","s","28"
"19K683","School for Classics High School",45.5,54.5,15,37.4,32.7,0.9,2.2,5.3,27.4,30.2,91.9,94.3,"School for Classics High School",351,"52",14.81481493,"25","16","9","24"
"19K760","Highland Park Community School",53.7,46.3,4.5,8.6,82.4,0.4,2,2,16.8,15.6,91.8,86.5,"Highland Park Community School",253,"19",7.50988126,"s","s","s","15"
"19K764","The Urban Assembly School for Collaborative Health",70.6,29.4,7.7,23.1,60.2,0.3,3.4,2.9,13.3,17.2,79.3,83.1,"The Urban Assembly School for Collaborative Health",383,"33",8.61618817,"s","s","s","28"
"19K907","Legacy School of the Arts",52.1,47.9,3.7,64.4,27.7,1.1,1.1,2.1,28.2,4.3,89.4,90.3,"Legacy School of the Arts",192,"46",23.95833284,"25","16","9","18"
"19K935","M.S. 935",50.6,49.4,5.9,13.3,80.1,0.4,0.4,0,21.4,13.3,84.5,84.5,"M.S. 935",291,"66",22.68041223,"15","s","s","50"
"19K938","P.S. 938",50.3,49.7,4.7,13,79.3,0,1.6,1.6,21.2,18.1,91.2,85.2,"P.S. 938",201,"26",12.93532401,"10","s","s","15"
"19K953","The East New York Arts and Civics High School",49.2,50.8,2.3,58.2,31.1,1.1,0.6,5.6,29.4,20.9,91.5,94.8,"The East New York Arts and Civics High School",161,"31",19.25465912,"17","s","s","11"
"20K030","P.S./I.S. 30 Mary White Ovington",46.7,53.3,16.3,1.6,36.6,1.8,0.3,43.4,20.5,23.5,80.2,81.3,"P.S./I.S. 30 Mary White Ovington",925,"63",6.81081116,"14","6","8","42"
"20K048","P.S. 048 Mapleton",49.7,50.3,35.9,0.8,40.9,0.8,0.6,21,22.2,28.9,87,86.5,"P.S. 048 Mapleton",517,"24",4.6421662,"6","s","s","17"
"20K062","J.H.S. 062 Ditmas",44.1,55.9,43.7,12.1,30.3,0.9,0.8,12.2,16.7,25.2,90.3,85.5,"J.H.S. 062 Ditmas",938,"152",16.20469093,"32","26","6","117"
"20K069","P.S. 69 Vincent D. Grippo School",44.2,55.8,88.7,0.5,6.1,0.9,0.2,3.6,17.7,48.7,95,90.3,"P.S. 69 Vincent D. Grippo School",579,"15",2.5906736,"s","s","s","12"
"20K102","P.S. 102 The Bayview",48.6,51.4,18.1,1.8,29.2,4.2,0.3,46.5,22.3,14.9,61.3,59.4,"P.S. 102 The Bayview",1106,"64",5.78661859,"s","s","s","59"
"20K104","P.S./I.S. 104 The Fort Hamilton School",45.8,54.2,22.5,3.7,26.6,3.6,0.4,43.2,16,16,67.2,60.6,"P.S./I.S. 104 The Fort Hamilton School",1152,"39",3.38541679,"9","s","s","26"
"20K105","P.S. 105 The Blythebourne",46.8,53.2,92,0.2,4.6,0.1,0,3.2,9.7,34.3,95,89.4,"P.S. 105 The Blythebourne",1174,"13",1.1073254,"6","s","s","s"
"20K112","P.S. 112 Lefferts Park",47,53,32.3,0.9,38.6,0.9,0.3,27,16,25.5,73.6,72.5,"P.S. 112 Lefferts Park",778,"63",8.09768662,"6","s","s","56"
"20K127","P.S. 127 McKinley Park",48.4,51.6,41.7,0.8,25.1,1.5,0.5,30.4,21.5,23.5,75.4,62.9,"P.S. 127 McKinley Park",641,"15",2.34009363,"6","s","s","9"
"20K160","P.S. 160 William T. Sampson",47.2,52.8,87.7,0.2,7.8,0.4,0.2,3.7,14.1,51.3,95,91,"P.S. 160 William T. Sampson",982,"209",21.28309608,"s","s","s","205"
"20K163","P.S. 163 Bath Beach",48.3,51.7,34.6,2.2,37.6,0.3,0,25.2,20.6,28.4,82.8,77.1,"P.S. 163 Bath Beach",656,"66",10.0609757,"s","s","s","63"
"20K164","P.S. 164 Caesar Rodney",49.9,50.1,43.5,2.6,39.9,0.8,0,13.2,27.7,17,90.8,86.7,"P.S. 164 Caesar Rodney",521,"47",9.02111307,"s","s","s","45"
"20K170","Ralph A. Fabrizio School",47.4,52.6,58.6,0.7,18,1.2,0.5,21,16.6,32.6,91.7,82.3,"Ralph A. Fabrizio School",877,"71",8.09578076,"s","s","s","68"
"20K176","P.S. 176 Ovington",47.7,52.3,63.4,0.7,23.9,0.7,0.7,10.6,13.5,29,86,80,"P.S. 176 Ovington",1152,"30",2.6041666,"6","s","s","24"
"20K179","P.S. 179 Kensington",49.7,50.3,63.4,2.2,20.1,0.1,1,13.1,13.3,49.6,87.3,87.2,"P.S. 179 Kensington",720,"65",9.02777761,"s","s","s","64"
"20K180","The SEEALL Academy",49.8,50.2,41.1,0.6,35.8,0.8,0.6,21.2,18.5,24,90.3,86.3,"The SEEALL Academy",885,"58",6.55367225,"s","s","s","52"
"20K185","P.S. 185 Walter Kassenbrock",46.5,53.5,11.3,1.9,20.5,3.8,0.2,62.4,18.8,5.8,44.6,46.3,"P.S. 185 Walter Kassenbrock",592,"8",1.35135138,"s","s","s","8"
"20K186","P.S. 186 Dr. Irving A Gladstone",49.2,50.8,34.4,0.8,30.9,1,0.6,32.2,14.5,38.9,82.1,80.3,"P.S. 186 Dr. Irving A Gladstone",1046,"58",5.54493293,"12","s","s","44"
"20K187","The Christa McAuliffe School\I.S. 187",48.2,51.8,77.5,1.3,9.2,0.8,0.3,10.9,14.8,7.1,76.4,69.1,"The Christa McAuliffe School\I.S. 187",927,"9",0.9708738,"s","s","s","8"
"20K192","P.S. 192 - The Magnet School for Math and Science",48.7,51.3,20.2,1.2,39.4,0,0.9,38.3,20.9,25.2,89.6,90,"P.S. 192 - The Magnet School for Math and Science",594,"138",23.23232293,"s","s","s","138"
"20K200","P.S. 200 Benson School",47.2,52.8,38.1,1.2,18.9,0.9,0.2,40.7,14.6,32.1,86.7,86.5,"P.S. 200 Benson School",1295,"83",6.40926659,"s","s","s","75"
"20K201","The Madeleine Brennan School",48,52,60.8,0.5,19.3,0.4,0.6,18.3,14.2,9.9,76.6,65.7,"The Madeleine Brennan School",1627,"78",4.79409955,"s","s","s","70"
"20K204","P.S. 204 Vince Lombardi",47,53,56,0.3,22.6,0.1,1,20,18.3,21.3,75,68.4,"P.S. 204 Vince Lombardi",1043,"35",3.35570462,"7","s","s","28"
"20K205","P.S. 205 Clarion",51.5,48.5,57,0.6,27.7,0.5,0.6,13.5,15.4,27,80.2,76.1,"P.S. 205 Clarion",1157,"49",4.23509069,"9","s","s","39"
"20K220","J.H.S. 220 John J. Pershing",48.4,51.6,62.4,0.8,32.4,0,0.1,4.3,18.3,30.1,90.5,89.1,"J.H.S. 220 John J. Pershing",1368,"142",10.38011685,"14","7","7","125"
"20K223","J.H.S. 223 The Montauk",41.2,58.8,48.2,3,34.7,0.2,0.6,13.3,16.9,26.1,90.6,88.3,"J.H.S. 223 The Montauk",730,"108",14.79452103,"16","9","7","92"
"20K227","J.H.S. 227 Edward B. Shallow",46.7,53.3,47.1,1,39.1,0.3,0.5,12.1,14.2,26.3,86,81.7,"J.H.S. 227 Edward B. Shallow",1430,"95",6.64335638,"13","s","s","79"
"20K229","P.S. 229 Dyker",48.4,51.6,61,1.4,16.5,1.1,0.3,19.8,17.2,17,68.9,57.3,"P.S. 229 Dyker",1166,"19",1.62950251,"6","s","s","12"
"20K247","P.S. 247 Brooklyn",51.6,48.4,58.2,0.7,14.3,1.1,0.4,25.3,19.6,33.8,78,74.9,"P.S. 247 Brooklyn",765,"58",7.58169964,"s","s","s","56"
"20K259","J.H.S. 259 William McKinley",46.7,53.3,52.9,0.8,22.4,1.1,0.5,22.3,14.1,12,79.8,76.8,"J.H.S. 259 William McKinley",1785,"163",9.13165286,"8","s","s","151"
"20K264","P.S. 264 Bay Ridge Elementary School For The Arts",47.6,52.4,13.2,1.5,32.4,4,0,48.9,19,16.2,70.1,65.1,"P.S. 264 Bay Ridge Elementary School For The Arts",429,"20",4.66200449,"s","s","s","16"
"20K445","New Utrecht High School",45,55,40.5,2.2,35.7,0.4,0.4,20,16.4,18.3,79.4,79.9,"New Utrecht High School",3221,"193",5.99192791,"15","8","7","172"
"20K485","High School of Telecommunication Arts and Technolo",39.9,60.1,25.3,3.4,51.8,0.7,0.5,17.1,21,9.9,79.7,79.8,"High School of Telecommunication Arts and Technolo",1285,"54",4.20233458,"7","s","s","45"
"20K490","Fort Hamilton High School",48.2,51.8,30.5,2.3,31.1,0.8,0.3,33.9,16,14.7,75.8,74.8,"Fort Hamilton High School",4126,"218",5.28356768,"20","12","8","174"
"20K503","P.S. 503: The School of Discovery",53.2,46.8,16.9,0,75.6,0.5,0.5,6.5,33.4,57.5,95,90.6,"P.S. 503: The School of Discovery",638,"168",26.33228898,"9","s","s","159"
"20K505","Franklin Delano Roosevelt High School",41.2,58.8,35,7.3,39.6,0.4,0.7,16.4,17,29.6,80.1,86.5,"Franklin Delano Roosevelt High School",3465,"233",6.72438666,"25","s","s","196"
"20K506","P.S. 506: The School of Journalism & Technology",47.8,52.2,31.4,0.5,63.3,0.3,0.3,4.2,28,38.3,95,92.1,"P.S. 506: The School of Journalism & Technology",395,"57",14.43037987,"s","s","s","52"
"20K609","Urban Assembly School for Leadership and Empowerme",100,0,49,8.1,19.6,0.8,3.1,19.4,13.6,13.8,87,84.1,"Urban Assembly School for Leadership and Empowerme",531,"51",9.60451961,"s","s","s","47"
"20K682","The Academy of Talented Scholars",46.3,53.7,33.2,1.4,8.7,1.6,0,55,22.1,25.9,66.2,66.8,"The Academy of Talented Scholars",385,"35",9.09090936,"s","s","s","33"
"20K748","P.S. 748 Brooklyn School for Global Scholars",44.3,55.7,44.5,0.5,27.4,1.9,0.7,25,15.2,17.6,83.6,76.8,"P.S. 748 Brooklyn School for Global Scholars",446,"28",6.27802685,"s","s","s","25"
"20K768","District 20 Pre-K Center",48.3,51.7,39.1,1.3,33.1,1.2,0.5,24.8,18.4,0,64.4,68.4,"District 20 Pre-K Center",1417,"40",2.82286517,"12","s","s","26"
"20K936","MS 936 Arts Off 3rd",64.6,35.4,8.1,0.7,71.2,1.3,0.2,18.6,20.1,11.6,76.2,75.8,"MS 936 Arts Off 3rd",458,"12",2.62008738,"s","s","s","8"
"20K939","Sunset School of Cultural Learning",56.3,43.7,13.6,0.5,76.1,1.9,0,8,24.4,23.5,86.4,83.6,"Sunset School of Cultural Learning",218,"30",13.76146823,"s","s","s","27"
"20K971","School of Math, Science, and Healthy Living",45.2,54.8,28.9,0.5,56.9,1,0,12.7,22.3,34,90.4,84.7,"School of Math, Science, and Healthy Living",192,"14",7.29166642,"s","s","s","13"
"21K090","P.S. 90 Edna Cohen School",49.8,50.2,15.3,21.2,46.6,0.8,1.3,14.8,20.3,21,93.6,91.8,"P.S. 90 Edna Cohen School",520,"105",20.19230723,"42","23","19","34"
"21K095","P.S. 095 The Gravesend",48.5,51.5,33.1,4.5,32.1,0.9,1.7,27.8,17,16.1,84.2,78.2,"P.S. 095 The Gravesend",971,"43",4.42842431,"8","s","s","32"
"21K096","I.S. 096 Seth Low",48.5,51.5,24.3,5.8,34,0.6,0.3,34.8,22.5,32.1,87.3,84.4,"I.S. 096 Seth Low",936,"90",9.61538479,"18","9","9","66"
"21K097","P.S. 97 The Highlawn",47.7,52.3,50.8,0.9,21,1.6,0.6,25.2,15.1,31.1,76.9,73.3,"P.S. 97 The Highlawn",935,"37",3.95721942,"6","s","s","29"
"21K098","I.S. 98 Bay Academy",52.6,47.4,35.2,2.1,10.1,1,0.3,51.2,9.7,2.5,61.7,60.7,"I.S. 98 Bay Academy",1452,"6",0.41322312,"s","s","s","s"
"21K099","P.S. 099 Isaac Asimov",50.7,49.3,42.6,4.2,18.1,0.8,1.3,33,11.3,32,83.7,85.6,"P.S. 099 Isaac Asimov",901,"86",9.54494998,"s","s","s","83"
"21K100","P.S. 100 The Coney Island School",50.1,49.9,6.6,2.3,4.5,1,0.3,85.3,17,25,61.5,59.8,"P.S. 100 The Coney Island School",628,"66",10.5095543,"6","s","s","60"
"21K101","P.S. 101 The Verrazano",49.5,50.5,54.3,1.6,15.4,1,0.7,26.9,18.4,21.5,77.2,74.6,"P.S. 101 The Verrazano",1149,"32",2.78503038,"6","s","s","25"
"21K121","P.S. 121 Nelson A. Rockefeller",46.1,53.9,21.7,4.6,35.9,2.3,1,34.5,26,28.6,78.6,75.7,"P.S. 121 Nelson A. Rockefeller",341,"30",8.79765376,"6","s","s","24"
"21K128","P.S. 128 Bensonhurst",45.1,54.9,29.8,3.5,21,1.1,0.6,44.1,17.5,45.6,88.6,84.3,"P.S. 128 Bensonhurst",482,"36",7.46887997,"7","s","s","29"
"21K153","P.S. 153 Homecrest",48.1,51.9,26.9,2.2,29.8,1.3,2.6,37.3,16.5,32.4,90.5,86.4,"P.S. 153 Homecrest",581,"39",6.71256483,"7","s","s","31"
"21K177","P.S. 177 The Marlboro",47.5,52.5,29.6,1.9,28.4,1,0.2,38.8,17.8,37.4,87.8,87.1,"P.S. 177 The Marlboro",959,"73",7.61209577,"7","s","s","65"
"21K188","P.S. 188 Michael E. Berdy",43.3,56.7,3.8,53.8,31.7,2.5,0.8,7.5,28.7,11.2,94.6,95,"P.S. 188 Michael E. Berdy",275,"45",16.36363566,"28","15","13","10"
"21K199","P.S. 199 Frederick Wachtel",44.5,55.5,22.8,7.6,21.5,2,0.4,45.6,26.5,36,85,84.2,"P.S. 199 Frederick Wachtel",563,"63",11.19005308,"6","s","s","57"
"21K209","P.S. 209 Margaret Mead",47.4,52.6,28.1,2.3,22.8,1.4,0.1,45.2,19,32.7,79.6,75.4,"P.S. 209 Margaret Mead",754,"45",5.96816987,"7","s","s","36"
"21K212","P.S. 212 Lady Deborah Moody",49.6,50.4,26.5,8.3,41.5,1.2,0.5,22,26.7,29.8,86.1,83.6,"P.S. 212 Lady Deborah Moody",617,"37",5.99675849,"12","s","s","25"
"21K215","P.S. 215 Morris H. Weiss",46.1,53.9,27.8,1.4,25,0.8,0.7,44.3,13.6,26.1,77.4,75.7,"P.S. 215 Morris H. Weiss",756,"25",3.30687836,"s","s","s","21"
"21K216","P.S. 216 Arturo Toscanini",50.6,49.4,29,3.2,19.6,0.4,1.1,46.7,16.5,36.3,82.1,78,"P.S. 216 Arturo Toscanini",789,"51",6.4638786,"6","s","s","42"
"21K225","P.S. K225 - The Eileen E. Zaglin",47.4,52.6,17.3,1.7,26.4,0.5,1.2,52.9,15.6,41.1,88.5,87.7,"P.S. K225 - The Eileen E. Zaglin",1101,"67",6.08537681,"12","s","s","54"
"21K226","P.S. 226 Alfred De B. Mason",48.5,51.5,27.4,1.9,33.8,0.7,1.3,34.9,18.6,32.7,83.5,84.1,"P.S. 226 Alfred De B. Mason",926,"72",7.77537823,"s","s","s","67"
